$ARF$;;1
$LOG$;;973
$MOD$;;12
$SET$;;7
AAEMK;;21
ACACC;;1
AEDUM;;4
AEWFL;;49
APOS;44;12
APOS;75;16727
APOS;79;1845
APOS;77;52696
APOS;8;26
APOS;46;3841
APOS;26;29
APOS;70;4112
APOS;86;23230
APOS;96;5537
APOS;92;28731
APOS;73;2792
APOS;29;2
APOS;91;77481
APOS;78;29976
APOS;93;20233
APOS;98;338
APOS;61;1908
APOS;89;13363
APOS;82;20477
APOS;88;11
APOS;84;93
APOS;68;6613
APOS;60;1549
APOS;37;12
APOS;3;274674
APOS;10;240
APOS;66;12489
APOS;67;3
APOS;87;63
APOS;94;7317
APOS;81;9125
APOS;57;20
APOS;4;2
APOS;31;186
APOS;85;1
APOS;35;5326
APOS;90;29344
APOS;65;1213
APOS;19;104
APOS;76;3466
APOS;33;562
APOS;69;2
APOS;95;3999
APOS;71;1
ATCSN;;369
DAAAI;60;2
DAAAI;35;23
DAAAI;91;711
DAAAI;3;54
DAAAN;65;230
DAAAN;93;105
DAAAN;3;5492
DAAAN;96;3224
DAAAN;90;3299
DAAAN;94;2
DAAAN;78;4578
DAAAN;77;7759
DAAAN;82;2303
DAAAN;91;1
DAAAN;76;2628
DAAAN;61;245
DAAAN;95;5
DAAAN;79;998
DAAAN;86;553
DAAAN;70;259
DAAAN;60;80
DAAAN;92;335
DAAAN;66;1588
DAAAN;81;882
DAAAN;75;5547
DAAAN;89;3719
DAAB;81;1959
DAAB;91;5520
DAAB;68;618
DAAB;65;177
DAAB;73;17
DAAB;3;57421
DAAB;75;3740
DAAB;66;2407
DAAB;92;8128
DAAB;61;231
DAAB;86;6029
DAAB;70;1256
DAAB;77;6251
DAAB;78;4879
DAAB;89;2145
DAAB;76;1016
DAAB;90;3964
DAAB;60;238
DAAB;79;9
DAAB;96;622
DAAB;93;5201
DAAB;94;1190
DAAB;95;984
DAAB;82;3584
DAACA;78;3
DAACA;77;105
DAACA;94;24
DAACA;92;27
DAACA;90;7
DAACA;75;192
DAACA;93;317
DAACA;76;1619
DAACA;70;23
DAACA;81;25
DAACA;91;8
DAACA;73;6
DAACA;89;6
DAACA;35;5230
DAACA;86;11
DAACA;3;284
DAACA;82;19
DAACA;79;92
DAACA;95;13
DAACF;75;1
DAACF;89;1
DAACF;61;9
DAACF;70;28
DAACF;81;1
DAACF;78;2
DAACF;91;2
DAACF;76;325
DAACF;82;18
DAACF;93;12
DAACF;3;123
DAACF;79;1
DAACI;61;62
DAACI;91;545
DAACI;86;1166
DAACI;75;3
DAACI;65;4
DAACI;94;3
DAACI;68;32
DAACI;70;3
DAACI;81;1
DAACI;78;13
DAACI;3;416
DAACI;89;2
DAACI;76;6940
DAACI;66;111
DAACI;82;3
DAACI;93;3391
DAACI;77;930
DAACO;81;1
DAACO;3;722
DAACS;35;428
DAACV;86;2
DAADA;77;1908
DAADA;86;1154
DAADA;94;705
DAADA;93;136
DAADA;75;6309
DAADA;70;2522
DAADA;90;1064
DAADA;96;12
DAADA;73;1
DAADA;65;9
DAADA;92;123
DAADA;95;1004
DAADA;78;449
DAADA;89;1393
DAADA;3;59068
DAADA;66;59
DAADA;81;409
DAADA;60;47
DAADA;61;6
DAADA;91;965
DAADA;76;4349
DAADA;82;23
DAADG;81;27
DAADG;77;1903
DAADG;60;2
DAADG;46;1
DAADG;61;29
DAADG;78;28
DAADG;70;18
DAADG;86;158
DAADG;89;22
DAADG;3;46706
DAADG;66;97
DAADG;82;5008
DAADG;65;27
DAADG;93;1316
DAADG;95;136
DAADG;90;10
DAAFO;70;9
DAAFO;89;138
DAAFO;81;1
DAAFO;3;2051
DAAFO;82;8
DAAFR;3;3236
DAAFR;82;20
DAAID;57;4
DAAID;31;1091
DAAID;16;131
DAAID;73;3947
DAAID;44;18
DAAID;84;1761
DAAID;3;236736
DAAID;90;23975
DAAID;60;3423
DAAID;78;39161
DAAID;46;760
DAAID;15;235
DAAID;67;9
DAAID;75;37087
DAAID;23;2
DAAID;96;6306
DAAID;79;1953
DAAID;91;90303
DAAID;77;53758
DAAID;92;33587
DAAID;10;693
DAAID;95;4534
DAAID;61;3005
DAAID;65;1298
DAAID;89;18175
DAAID;68;8831
DAAID;19;531
DAAID;66;24860
DAAID;56;96
DAAID;70;5032
DAAID;21;66
DAAID;28;16
DAAID;93;26851
DAAID;26;176
DAAID;86;38295
DAAID;82;31213
DAAID;81;10552
DAAID;94;8878
DAAID;8;170
DAAID;33;1955
DAAID;35;5862
DAAID;98;2328
DAAIK;98;44
DAAIK;57;43
DAAIK;33;47
DAAIK;73;16
DAAIK;61;2959
DAAIK;8;42
DAAIK;94;86
DAAIK;81;11014
DAAIK;68;39
DAAIK;75;1002
DAAIK;60;43
DAAIK;96;55
DAAIK;91;512
DAAIK;28;12
DAAIK;84;267
DAAIK;44;28
DAAIK;89;87
DAAIK;31;46
DAAIK;35;1462
DAAIK;10;202
DAAIK;92;27310
DAAIK;15;47
DAAIK;3;283996
DAAIK;82;30118
DAAIK;95;71
DAAIK;79;22
DAAIK;78;106565
DAAIK;77;62326
DAAIK;46;149
DAAIK;26;131
DAAIK;90;17533
DAAIK;93;11421
DAAIK;86;715
DAAIK;56;5
DAAIK;70;8208
DAAIK;19;55
DAAIK;16;28
DAAIN;91;1285
DAAIN;92;151
DAAIN;77;73
