$ARF$;;3
$LOG$;;145
$MOD$;;40
$SET$;;24
ACONT;77;1
ACONT;3;4
AEDUM;;1
AEWFL;;39
AGEAK;77;1
APOS;67;46
APOS ;94;6002
APOS ;37;13
APOS ;3;253664
APOS ;10;226
APOS ;;57
APOS ;75;16367
APOS ;79;3522
APOS ;77;36945
APOS ;92;14038
APOS ;70;3007
APOS ;86;23006
APOS ;96;3468
APOS ;73;1860
APOS ;91;59509
APOS ;78;22176
APOS ;93;13012
APOS ;98;244
APOS ;89;14703
APOS ;82;16250
APOS ;84;82
APOS ;68;13678
APOS ;95;3890
APOS ;71;1417
APOS ;19;57
APOS ;76;3367
APOS ;33;551
APOS ;90;26918
APOS ;31;224
APOS ;35;9251
APOS ;81;7600
ATCSN;;702
DAAAI;3;9
DAAAI;35;22
DAAAN;96;1992
DAAAN;90;4711
DAAAN;93;240
DAAAN;3;6116
DAAAN;35;1
DAAAN;95;107
DAAAN;79;1111
DAAAN;86;1051
DAAAN;70;277
DAAAN;92;321
DAAAN;81;683
DAAAN;89;3529
DAAAN;75;4265
DAAAN;82;1040
DAAAN;71;26
DAAAN;91;1
DAAAN;76;2494
DAAAN;73;3
DAAAN;94;3
DAAAN;78;3891
DAAAN;77;6222
DAAB ;86;6833
DAAB ;71;563
DAAB ;77;7595
DAAB ;78;6691
DAAB ;70;808
DAAB ;89;2954
DAAB ;76;962
DAAB ;81;2376
DAAB ;68;241
DAAB ;91;3720
DAAB ;3;54651
DAAB ;73;62
DAAB ;75;3915
DAAB ;92;4978
DAAB ;93;3748
DAAB ;94;1390
DAAB ;95;901
DAAB ;82;2285
DAAB ;90;3781
DAAB ;79;43
DAAB ;96;254
DAACA;90;8
DAACA;75;313
DAACA;78;182
DAACA;77;3719
DAACA;68;22
DAACA;71;37
DAACA;94;44
DAACA;92;26
DAACA;89;61
DAACA;98;1
DAACA;91;85
DAACA;73;6
DAACA;35;9171
DAACA;86;72
DAACA;82;37
DAACA;3;24145
DAACA;95;70
DAACA;79;151
DAACA;93;147
DAACA;76;1898
DAACA;70;26
DAACA;81;766
DAACA;96;7
DAACF;95;10
DAACF;75;5
DAACF;86;2
DAACF;76;7
DAACF;78;3
DAACF;35;2
DAACF;79;1
DAACF;82;5937
DAACF;93;1
DAACF;3;154
DAACI;94;4
DAACI;76;81
DAACI;82;2327
DAACI;77;119
DAACI;35;1352
DAACI;70;3
DAACI;95;261
DAACI;79;10
DAACI;78;5
DAACI;3;761
DAACO;70;3
DAACO;3;860
DAACO;82;52
DAACS;35;905
DAADA;75;5260
DAADA;70;1628
DAADA;90;1389
DAADA;73;562
DAADA;92;75
DAADA;93;105
DAADA;77;1872
DAADA;86;1863
DAADA;94;575
DAADA;89;1230
DAADA;95;646
DAADA;78;663
DAADA;3;60012
DAADA;81;448
DAADA;91;621
DAADA;76;6484
DAADA;82;134
DAADD;3;2
DAADG;81;123
DAADG;77;1421
DAADG;90;67
DAADG;82;5851
DAADG;70;27
DAADG;78;77
DAADG;86;65
DAADG;89;95
DAADG;3;41663
DAAFO;70;11
DAAFO;3;2473
DAAFR;3;1841
DAAFR;82;3360
DAAID;16;34
DAAID;57;146
DAAID;73;3555
DAAID;84;2738
DAAID;15;81
DAAID;67;92
DAAID;90;22621
DAAID;3;214653
DAAID;23;13
DAAID;75;34520
DAAID;96;3930
DAAID;77;40650
DAAID;79;3417
DAAID;91;67842
DAAID;95;4718
DAAID;92;15385
DAAID;10;784
DAAID;89;23003
DAAID;68;17009
DAAID;19;429
DAAID;28;116
DAAID;21;56
DAAID;70;3727
DAAID;56;57
DAAID;93;16977
DAAID;71;1844
DAAID;86;42302
DAAID;82;23822
DAAID;81;8707
DAAID;8;71
DAAID;94;9241
DAAID;35;9441
DAAID;98;1150
DAAID;33;1811
DAAIK;73;14
DAAIK;33;288
DAAIK;57;36
DAAIK;98;12
DAAIK;94;38
DAAIK;8;24
DAAIK;68;35
DAAIK;75;904
DAAIK;96;28
DAAIK;91;540
DAAIK;84;172
DAAIK;28;12
DAAIK;89;53
DAAIK;31;37
DAAIK;35;1902
DAAIK;15;40
DAAIK;10;98
DAAIK;92;6063
DAAIK;71;7
DAAIK;82;18979
DAAIK;3;256291
DAAIK;90;6334
DAAIK;93;6135
DAAIK;86;54
DAAIK;95;36
DAAIK;78;12513
DAAIK;77;47081
DAAIK;79;12
DAAIK;70;2840
DAAIK;19;52
DAAIN;77;92
DAAIN;79;597
DAAIN;92;87
DAAIN;91;1069
DAAIN;82;2505
DAAIN;93;747
DAAIN;90;3097
DAAIN;3;26544
DAAIN;89;8
DAAIN;94;175
DAAIN;78;3
DAAIN;81;531
DAAIN;70;533
DAAIN;86;719
DAAIO;76;2662
DAAIO;75;2
DAAIO;78;1
DAAIO;90;103
DAAIO;35;1
DAAIO;81;1
DAAIO;3;3
DAALL;35;99
DAALL;3;210
DAALL;82;7
DAALL;78;2
DAALL;81;1
DAALL;77;3
DAALL;70;74
DAAOD;93;5685
DAAOD;35;1
DAAOD;77;4244
DAAOD;68;1
DAAOD;76;1178
DAAOD;75;1470
DAAOD;3;4893
DAAOD;91;6
DAAOD;78;4
DAAOD;95;6
DAAOD;94;383
DAAOD;79;9
DAAOD;82;150
DAATO;70;1848
DAATO;86;630
DAATO;90;2
DAATO;35;6828
DAATO;3;76201
DAATO;89;3035
DAATO;68;4465
DAATO;76;22
DAATO;75;112
DAATO;93;4910
DAATO;81;2555
DAATO;78;14372
DAATO;77;13168
DAATO;94;136
DAATO;79;387
DAATO;92;3985
DAATO;91;15491
DAATO;73;1
DAATO;82;5229
DAAVI;75;12809
DABCA;82;7390
DABCA;76;1
DABCA;91;189
DABCA;95;4
DABCA;96;2
DABCA;70;1096
DABCA;68;31
DABCA;78;470
DABCA;3;71976
DABCA;86;2
DABCA;93;2363
DABCA;77;84
DABCA;81;675
DABCA;75;530
DABCA;35;66
DABCU;82;9542
DABCU;70;2262
DABCU;86;1946
DABCU;94;891
DABCU;95;4
